Back to Contents,Data 1: Retail
Sourcekey,EMM_EPMR_PTE_NUS_DPG
Date,Weekly U.S. Regular All Formulations Retail Gasoline Prices  (Dollars per Gallon)
2002-09-09 00:00:00,1.395
2002-09-16 00:00:00,1.401
2002-09-23 00:00:00,1.395
2002-09-30 00:00:00,1.413
2002-10-07 00:00:00,1.439
2002-10-14 00:00:00,1.44
2002-10-21 00:00:00,1.458
2002-10-28 00:00:00,1.444
2002-11-04 00:00:00,1.448
2002-11-11 00:00:00,1.439
2002-11-18 00:00:00,1.409
2002-11-25 00:00:00,1.38
2002-12-02 00:00:00,1.364
2002-12-09 00:00:00,1.36
2002-12-16 00:00:00,1.363
2002-12-23 00:00:00,1.401
2002-12-30 00:00:00,1.441
2003-01-06 00:00:00,1.444
2003-01-13 00:00:00,1.454
2003-01-20 00:00:00,1.459
2003-01-27 00:00:00,1.473
2003-02-03 00:00:00,1.527
2003-02-10 00:00:00,1.607
2003-02-17 00:00:00,1.66
2003-02-24 00:00:00,1.658
2003-03-03 00:00:00,1.686
2003-03-10 00:00:00,1.712
2003-03-17 00:00:00,1.728
2003-03-24 00:00:00,1.69
2003-03-31 00:00:00,1.649
2003-04-07 00:00:00,1.63
2003-04-14 00:00:00,1.595
2003-04-21 00:00:00,1.574
2003-04-28 00:00:00,1.557
2003-05-05 00:00:00,1.513
2003-05-12 00:00:00,1.491
2003-05-19 00:00:00,1.498
2003-05-26 00:00:00,1.487
2003-06-02 00:00:00,1.473
2003-06-09 00:00:00,1.49
2003-06-16 00:00:00,1.518
2003-06-23 00:00:00,1.496
2003-06-30 00:00:00,1.487
2003-07-07 00:00:00,1.489
2003-07-14 00:00:00,1.521
2003-07-21 00:00:00,1.524
2003-07-28 00:00:00,1.516
2003-08-04 00:00:00,1.536
2003-08-11 00:00:00,1.571
2003-08-18 00:00:00,1.627
2003-08-25 00:00:00,1.747
2003-09-01 00:00:00,1.746
2003-09-08 00:00:00,1.717
2003-09-15 00:00:00,1.697
2003-09-22 00:00:00,1.643
2003-09-29 00:00:00,1.591
2003-10-06 00:00:00,1.573
2003-10-13 00:00:00,1.568
2003-10-20 00:00:00,1.571
2003-10-27 00:00:00,1.542
2003-11-03 00:00:00,1.535
2003-11-10 00:00:00,1.504
2003-11-17 00:00:00,1.497
2003-11-24 00:00:00,1.512
2003-12-01 00:00:00,1.49
2003-12-08 00:00:00,1.476
2003-12-15 00:00:00,1.465
2003-12-22 00:00:00,1.485
2003-12-29 00:00:00,1.478
2004-01-05 00:00:00,1.51
2004-01-12 00:00:00,1.56
2004-01-19 00:00:00,1.595
2004-01-26 00:00:00,1.622
2004-02-02 00:00:00,1.616
2004-02-09 00:00:00,1.638
2004-02-16 00:00:00,1.648
2004-02-23 00:00:00,1.688
2004-03-01 00:00:00,1.717
2004-03-08 00:00:00,1.738
2004-03-15 00:00:00,1.724
2004-03-22 00:00:00,1.743
2004-03-29 00:00:00,1.758
2004-04-05 00:00:00,1.78
2004-04-12 00:00:00,1.786
2004-04-19 00:00:00,1.813
2004-04-26 00:00:00,1.812
2004-05-03 00:00:00,1.844
2004-05-10 00:00:00,1.941
2004-05-17 00:00:00,2.017
2004-05-24 00:00:00,2.064
2004-05-31 00:00:00,2.051
2004-06-07 00:00:00,2.034
2004-06-14 00:00:00,1.985
2004-06-21 00:00:00,1.937
2004-06-28 00:00:00,1.921
2004-07-05 00:00:00,1.895
2004-07-12 00:00:00,1.917
2004-07-19 00:00:00,1.928
2004-07-26 00:00:00,1.905
2004-08-02 00:00:00,1.888
2004-08-09 00:00:00,1.877
2004-08-16 00:00:00,1.875
2004-08-23 00:00:00,1.884
2004-08-30 00:00:00,1.866
2004-09-06 00:00:00,1.85
2004-09-13 00:00:00,1.846
2004-09-20 00:00:00,1.866
2004-09-27 00:00:00,1.917
2004-10-04 00:00:00,1.938
2004-10-11 00:00:00,1.993
2004-10-18 00:00:00,2.035
2004-10-25 00:00:00,2.032
2004-11-01 00:00:00,2.034
2004-11-08 00:00:00,2.001
2004-11-15 00:00:00,1.969
2004-11-22 00:00:00,1.948
2004-11-29 00:00:00,1.945
2004-12-06 00:00:00,1.911
2004-12-13 00:00:00,1.847
2004-12-20 00:00:00,1.815
2004-12-27 00:00:00,1.791
2005-01-03 00:00:00,1.778
2005-01-10 00:00:00,1.793
2005-01-17 00:00:00,1.819
2005-01-24 00:00:00,1.853
2005-01-31 00:00:00,1.911
2005-02-07 00:00:00,1.909
2005-02-14 00:00:00,1.898
2005-02-21 00:00:00,1.905
2005-02-28 00:00:00,1.928
2005-03-07 00:00:00,1.999
2005-03-14 00:00:00,2.056
2005-03-21 00:00:00,2.109
2005-03-28 00:00:00,2.153
2005-04-04 00:00:00,2.217
2005-04-11 00:00:00,2.28
2005-04-18 00:00:00,2.237
2005-04-25 00:00:00,2.236
2005-05-02 00:00:00,2.235
2005-05-09 00:00:00,2.186
2005-05-16 00:00:00,2.163
2005-05-23 00:00:00,2.125
2005-05-30 00:00:00,2.097
2005-06-06 00:00:00,2.116
2005-06-13 00:00:00,2.13
2005-06-20 00:00:00,2.161
2005-06-27 00:00:00,2.215
2005-07-04 00:00:00,2.226
2005-07-11 00:00:00,2.328
2005-07-18 00:00:00,2.317
2005-07-25 00:00:00,2.289
2005-08-01 00:00:00,2.291
2005-08-08 00:00:00,2.368
2005-08-15 00:00:00,2.55
2005-08-22 00:00:00,2.612
2005-08-29 00:00:00,2.61
2005-09-05 00:00:00,3.069
2005-09-12 00:00:00,2.955
2005-09-19 00:00:00,2.786
2005-09-26 00:00:00,2.803
2005-10-03 00:00:00,2.928
2005-10-10 00:00:00,2.848
2005-10-17 00:00:00,2.725
2005-10-24 00:00:00,2.603
2005-10-31 00:00:00,2.48
2005-11-07 00:00:00,2.376
2005-11-14 00:00:00,2.296
2005-11-21 00:00:00,2.201
2005-11-28 00:00:00,2.154
2005-12-05 00:00:00,2.147
